0;0;0;0;land;false;unknown;0
1;192;208;142;land;false;mountain;1
2;113;187;214;land;false;desert;1
3;254;77;212;land;false;desert;1
4;213;238;214;land;true;jungle;1
5;216;118;178;land;false;mountain;1
6;37;247;223;land;false;desert;1
7;242;197;222;land;false;desert;1
8;224;209;75;land;false;jungle;1
9;243;185;222;land;false;plains;1
10;69;249;254;land;false;desert;1
11;155;124;244;land;false;mountain;1
12;196;141;164;land;false;desert;1
13;204;229;235;land;true;plains;1
14;225;108;214;land;false;forest;1
15;225;119;222;land;false;mountain;1
16;182;161;217;land;false;mountain;1
17;230;218;110;land;false;desert;1
18;213;171;181;land;false;mountain;1
19;186;203;218;land;false;forest;1
20;125;163;243;land;false;desert;1
21;100;147;254;land;false;forest;1
22;140;177;194;land;true;forest;1
23;200;216;200;land;false;mountain;1
24;244;150;204;land;false;forest;1
25;200;124;195;land;true;plains;1
26;153;176;247;land;false;desert;1
27;220;129;222;land;false;desert;1
28;68;235;224;land;false;forest;1
29;192;104;213;land;false;desert;1
30;247;253;60;land;false;desert;1
31;195;209;240;land;false;mountain;1
32;178;165;161;land;false;forest;1
33;231;81;219;land;true;desert;1
34;211;254;165;land;true;forest;1
35;162;116;239;land;false;mountain;1
36;242;150;226;land;true;forest;1
37;157;198;209;land;false;mountain;1
38;162;248;219;land;false;desert;1
39;210;240;79;land;false;desert;1
40;248;216;46;land;false;plains;1
41;187;155;159;land;false;desert;1
42;15;254;239;land;false;forest;1
43;173;158;181;land;false;mountain;1
44;248;210;121;land;false;desert;1
45;201;196;247;land;false;forest;1
46;245;237;175;land;false;desert;1
47;92;224;203;land;true;forest;1
48;223;166;182;land;true;plains;1
49;248;95;232;land;false;mountain;1
50;248;117;198;land;false;desert;1
51;211;228;215;land;false;forest;1
52;170;251;225;land;false;desert;1
53;219;194;185;land;false;forest;1
54;195;157;205;land;false;mountain;1
55;244;84;252;land;false;mountain;1
56;172;225;253;land;false;forest;1
57;240;232;82;land;true;forest;1
58;246;96;251;land;false;forest;1
59;119;202;214;land;true;forest;1
60;230;173;244;land;false;forest;1
61;143;201;167;land;false;forest;1
62;134;233;197;land;false;desert;1
63;249;179;199;land;false;mountain;1
64;250;175;209;land;false;plains;1
65;227;204;194;land;false;plains;1
66;193;197;173;land;false;mountain;1
67;241;165;185;land;false;plains;1
68;194;180;236;land;true;forest;1
69;105;202;225;land;false;forest;1
70;196;149;171;land;false;mountain;1
71;204;61;248;land;false;mountain;1
72;206;252;217;land;false;desert;1
73;143;221;220;land;false;mountain;1
74;218;223;162;land;false;desert;1
75;162;208;250;land;false;mountain;1
76;114;201;203;land;false;desert;1
77;141;154;240;land;true;plains;1
78;49;227;236;land;false;desert;1
79;161;218;247;land;true;desert;1
80;251;194;183;land;false;desert;1
81;240;229;144;land;true;desert;1
82;249;218;187;land;false;mountain;1
83;219;208;109;land;false;desert;1
84;215;226;110;land;false;desert;1
85;223;228;165;land;false;mountain;1
86;212;242;106;land;true;forest;1
87;252;232;189;land;false;desert;1
88;201;235;236;land;false;desert;1
89;239;100;169;land;false;mountain;1
90;216;253;181;land;false;mountain;1
91;187;215;176;land;false;desert;1
92;230;163;232;land;false;mountain;1
93;221;102;201;land;true;desert;1
94;178;215;184;land;true;plains;1
95;72;224;228;land;false;desert;1
96;139;249;235;land;false;plains;1
97;151;186;168;land;false;mountain;1
98;250;234;52;land;false;plains;1
99;111;223;200;land;true;plains;1
100;95;228;222;land;true;mountain;1
101;249;183;131;land;false;desert;1
102;243;175;245;land;false;mountain;1
103;235;79;190;land;false;desert;1
104;65;238;198;land;false;desert;1
105;154;156;226;land;false;mountain;1
106;197;142;184;land;false;forest;1
107;83;246;204;land;true;forest;1
108;212;144;181;land;false;desert;1
109;136;252;223;land;false;forest;1
110;205;204;204;land;true;desert;1
111;155;153;253;land;true;desert;1
112;225;193;215;land;true;mountain;1
113;112;250;208;land;true;forest;1
114;46;242;251;land;true;desert;1
