332;supply_node;2442.00;14.10;874.00;4.20;0
332;supply_node;2458.00;13.80;861.00;4.39;0
332;bunker;2427.00;14.70;876.00;0.65;0
332;bunker;2441.00;16.20;856.00;3.32;0
332;bunker;2449.00;13.15;850.00;5.44;0
332;bunker;2447.00;15.25;862.00;5.54;0
451;supply_node;1927.00;11.20;595.00;5.98;0
451;supply_node;1866.00;10.20;557.00;5.22;0
451;supply_node;1854.00;10.10;449.00;2.58;0
451;supply_node;1856.00;10.30;584.00;0.34;0
451;supply_node;1830.00;10.00;498.00;3.28;0
451;supply_node;1889.00;10.50;609.00;3.53;0
451;supply_node;1843.00;10.30;478.00;4.94;0
451;bunker;1901.00;10.98;588.00;4.57;0
451;bunker;1906.00;10.30;614.00;0.96;0
451;bunker;1861.00;10.10;476.00;0.52;0
451;bunker;1885.00;10.40;440.00;1.02;0
451;bunker;1850.00;10.10;459.00;1.03;0
451;bunker;1853.00;10.28;571.00;4.20;0
451;bunker;1823.00;10.07;487.00;5.76;0
451;dockyard;1860.00;9.50;606.00;-3.19;0
451;synthetic_refinery;1875.00;10.38;468.00;2.21;0
456;supply_node;2148.00;10.30;489.00;0.34;0
456;supply_node;2123.00;10.90;563.00;4.76;0
456;supply_node;2197.00;10.20;473.00;0.65;0
456;supply_node;2146.00;10.80;541.00;6.16;0
456;supply_node;2196.00;10.80;543.00;2.81;0
456;supply_node;2176.00;10.40;578.00;5.40;0
456;supply_node;2204.00;10.90;520.00;4.23;0
456;supply_node;2216.00;10.80;544.00;5.71;0
456;supply_node;2216.00;10.40;490.00;1.60;0
456;supply_node;2178.00;10.80;494.00;5.48;0
456;supply_node;2177.00;10.80;534.00;1.78;0
456;supply_node;2199.00;10.80;498.00;1.37;0
456;supply_node;2225.00;10.90;513.00;3.95;0
456;supply_node;2163.00;10.10;460.00;6.13;0
456;supply_node;2152.00;10.30;590.00;1.32;0
456;supply_node;2166.00;10.60;516.00;4.26;0
456;supply_node;2184.00;10.20;599.00;3.73;0
456;supply_node;2153.00;10.70;570.00;1.10;0
456;supply_node;2191.00;10.70;566.00;5.14;0
456;supply_node;2172.00;11.00;555.00;0.33;0
456;bunker;2198.00;10.80;532.00;0.08;0
456;bunker;2155.00;10.40;508.00;2.14;0
456;bunker;2216.00;10.90;522.00;1.19;0
456;bunker;2136.00;10.78;556.00;4.20;0
456;bunker;2178.00;10.80;528.00;0.59;0
456;bunker;2161.00;10.90;557.00;5.92;0
456;bunker;2197.00;10.88;510.00;5.82;0
456;bunker;2165.00;10.35;476.00;1.10;0
456;bunker;2170.00;10.65;498.00;2.21;0
456;bunker;2166.00;10.68;488.00;0.15;0
456;bunker;2173.00;10.40;576.00;0.65;0
456;bunker;2179.00;10.40;594.00;4.78;0
456;bunker;2147.00;10.80;548.00;3.32;0
456;bunker;2192.00;10.70;573.00;1.77;0
456;bunker;2153.00;10.30;591.00;4.44;0
456;bunker;2158.00;10.60;576.00;2.27;0
456;bunker;2235.00;11.00;514.00;5.55;0
456;bunker;2215.00;10.40;491.00;5.46;0
456;bunker;2217.00;10.90;533.00;2.95;0
456;bunker;2190.00;10.40;484.00;4.51;0
451;nuclear_reactor;1878.00;10.68;585.00;2.13;0
456;radar_station;2148.00;10.70;565.00;3.89;0
16;floating_harbor;4106.00;9.50;642.00;-3.72;7038
22;floating_harbor;3221.00;9.50;818.00;1.57;5372
41;floating_harbor;3095.00;9.50;978.00;1.57;4555
55;floating_harbor;3065.00;9.50;987.00;-1.57;4522
58;floating_harbor;3043.00;9.50;973.00;-3.14;4544
107;floating_harbor;4208.18;9.50;548.12;-4.12;6544
124;floating_harbor;4009.14;9.50;266.37;1.37;6998
125;floating_harbor;3981.00;9.50;195.00;0.00;7144
142;floating_harbor;3718.86;9.50;439.63;-1.77;6866
158;floating_harbor;3964.95;9.50;393.05;-2.36;6950
172;floating_harbor;3083.00;10.00;1084.00;-3.14;4147
190;floating_harbor;3225.00;9.50;1247.00;-1.57;3673
205;floating_harbor;3171.13;9.50;1194.26;-0.46;3832
206;floating_harbor;3184.21;9.50;1168.64;-0.32;3914
214;floating_harbor;3009.74;9.50;1214.13;1.11;3765
241;floating_harbor;3254.00;9.50;1164.00;1.57;3903
256;floating_harbor;3379.64;9.50;1188.79;-1.89;3814
263;floating_harbor;3109.79;9.50;884.64;0.32;5079
276;floating_harbor;3070.00;9.50;756.00;0.00;5716
324;floating_harbor;3290.05;9.50;996.05;-3.93;4451
325;floating_harbor;3257.00;9.50;934.00;1.57;4765
369;floating_harbor;2853.00;9.85;966.00;-1.57;4596
431;floating_harbor;2612.79;9.50;1164.36;-3.46;3825
436;floating_harbor;2801.00;9.50;969.00;0.45;4859
1;arms_factory;3191.00;9.95;1081.00;2.26;0
1;arms_factory;3190.00;9.90;1075.00;0.11;0
1;arms_factory;3184.00;9.88;1095.00;1.67;0
1;arms_factory;3193.00;9.98;1082.00;5.79;0
1;arms_factory;3200.00;9.90;1081.00;0.71;0
1;arms_factory;3196.00;9.82;1071.00;4.83;0
1;industrial_complex;3196.00;9.90;1083.00;0.11;0
1;industrial_complex;3192.00;9.93;1083.00;2.78;0
1;industrial_complex;3187.00;9.82;1074.00;5.44;0
1;industrial_complex;3189.00;9.90;1073.00;2.17;0
1;industrial_complex;3197.00;9.88;1084.00;3.38;0
1;industrial_complex;3189.00;9.90;1076.00;1.22;0
1;air_base;3190.00;9.90;1075.00;5.34;0
1;supply_node;3200.00;9.90;1097.00;1.67;0
1;supply_node;3182.00;9.85;1094.00;4.25;0
1;supply_node;3192.00;9.88;1077.00;0.90;0
1;supply_node;3173.00;9.57;1068.00;3.84;0
1;supply_node;3219.00;9.57;1066.00;0.14;0
1;supply_node;3201.00;9.85;1061.00;3.08;0
1;naval_base;3200.00;9.50;1079.00;1.03;9933
1;naval_base;3175.00;9.82;1069.00;-1.57;10104
1;naval_base;3178.00;9.50;1091.00;-0.93;10104
1;naval_base;3219.00;9.80;1065.00;-1.57;9933
1;naval_base;3203.00;9.82;1062.00;-3.93;9933
1;naval_base;3201.00;9.90;1099.00;-1.57;9685
1;bunker;3192.00;9.98;1082.00;2.24;0
1;bunker;3183.00;9.88;1095.00;3.45;0
1;bunker;3220.00;9.80;1066.00;1.29;0
1;bunker;3201.00;9.90;1097.00;2.85;0
1;bunker;3202.00;9.85;1061.00;5.51;0
1;bunker;3174.00;9.80;1068.00;1.90;0
1;coastal_bunker;3200.00;9.60;1061.00;-3.93;0
1;coastal_bunker;3178.00;9.50;1091.00;-0.93;0
1;coastal_bunker;3196.00;9.82;1085.00;-3.55;0
1;coastal_bunker;3198.00;9.50;1098.00;-1.57;0
1;coastal_bunker;3171.00;9.57;1068.00;-1.57;0
1;coastal_bunker;3217.00;9.50;1064.00;-1.57;0
1;dockyard;3181.00;9.50;1092.00;1.57;0
1;anti_air_building;3193.00;9.90;1084.00;0.25;0
1;anti_air_building;3196.00;9.90;1083.00;1.45;0
1;anti_air_building;3189.00;9.88;1080.00;4.47;0
1;synthetic_refinery;3187.00;9.82;1074.00;0.85;0
1;fuel_silo;3220.00;9.80;1067.00;3.52;0
